_id,Series Name,Series Code,Country Name,Country Code,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
1,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0.016870929,0.16371274,1.006098986,3.467205048,7.209178925,13.96917152,23,27.5064106,34.29051208,42.4,47.88846588,42.7,61.51441956,69.1,75.15437317,89.5
2,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Albania,ALB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Algeria,DZA,92.99005127,93.39325714,93.79601288,94.19605255,94.59069061,94.977211,95.35290527,95.715065,96.06099701,96.38908386,96.70213318,97.00404358,97.29869843,97.59001923,97.88188934,98.18426514,98.49073792,98.80651855,99.3,99.44389343,99.71117401,99.88954163,99.9730835,99.99691772,100
4,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Andorra,ADO,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Angola,AGO,47.83362961,47.26111603,46.6881485,46.11248016,45.53139496,44.94219589,44.34217453,43.72862244,43.09883499,42.45120621,41.78853989,41.11472702,40.43367004,39.74926758,39.06541824,38.38602448,37.71497726,37.5,36.40599823,35.76550674,35.13201904,34.6,33.87903595,33.2560463,32
7,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Antigua and Barbuda,ATG,81.76303101,82.43552399,83.10756683,83.77690887,84.44083405,85.09664917,85.74163055,86.37309265,86.98831177,87.58570099,88.16803741,88.73923492,89.30319214,89.86380005,90.42495728,90.9905777,91.56453705,92.14981079,92.74558258,93.35009766,93.96161652,94.55201403,95.19865417,95.82067871,96.44298553
8,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Argentina,ARG,90.75908661,91.22473145,91.68991852,92.15240479,92.60948181,93.05843353,93.49656677,93.9211731,94.32954407,94.72006989,95.09555817,95.51106347,95.81700897,96.17076111,96.52507019,96.88382721,97.25093842,97.62935638,98.02481842,98.42118835,98.82,99.22019196,99.57305908,99.83154297,100
9,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Armenia,ARM,97.25182343,97.45218658,97.65210724,97.84931946,98.03503418,98.21669006,98.3875351,98.5450592,98.68743134,98.81430817,98.9,100,98,99.21535492,99.30730438,99.8,99.50715637,99.61998749,99.73951721,99.85289001,99.8,99.9835434,99.99794006,100,100
10,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Aruba,ABW,88.96104431,89.25134277,89.5411911,89.82833862,90.11006927,90.38368988,90.64647675,90.89574432,91.12876892,91.34395599,91.660398,91.73310852,91.91486359,92.09327698,92.27224731,92.45566559,92.64743042,92.85050964,93.06408691,93.2864151,93.35629215,93.75031281,93.98838806,94.22821045,94.46832275
11,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
