Region,varA,varB,varC,varD,varE
Abia,5.73,0.97,196,158,27
Adamawa,24.42,27.82,2252,1062,1210
Akwa Ibom,16.75,5.24,561,682,213
Anambra,7.84,1.84,394,472,111
Bauchi,14.36,42.46,4990,1088,3216
Bayelsa,28.03,2.91,178,440,46
Benue,32.23,7.61,1344,1794,424
Borno,18.06,28.21,3470,1292,2017
Cross River,32.08,5.20,369,794,129
Delta,13.28,2.15,413,602,97
Ebonyi,41.09,10.26,955,1838,459
Edo,12.61,4.83,303,355,136
Ekiti,26.33,4.63,338,587,103
Enugu,21.17,5.39,423,765,195
FCT,13.73,6.76,253,187,92
Gombe,14.40,49.21,2718,545,1862
Imo,6.92,3.18,500,302,139
Jigawa,16.62,42.28,4909,1217,3095
Kaduna,11.83,27.73,5268,1332,3121
Kano,15.87,29.91,7221,2231,4204
Katsina,19.75,30.82,6858,2377,3709
Kebbi,8.86,59.93,4501,493,3335
Kogi,19.83,12.06,681,540,328
Kwara,7.10,20.18,1163,245,696
Lagos,2.16,0.16,533,256,19
Nasarawa,20.30,10.61,722,619,324
Niger,10.83,35.07,3951,734,2375
Ogun,9.84,0.89,305,409,37
Ondo,27.97,3.85,359,876,121
Osun,17.26,2.87,565,735,122
Oyo,9.99,3.86,756,652,252
Plateau,32.31,14.74,1297,1344,613
Rivers,13.13,1.61,508,809,99
Sokoto,8.38,59.08,4004,418,2947
Taraba,28.70,25.14,2113,1179,1033
Yobe,10.54,53.97,5661,772,3956
Zamfara,11.36,47.71,4711,768,3226
